count,day,month,year
10587,30,9,2018
6282,16,10,2018
5952,30,10,2018
4227,2,11,2018
4209,16,11,2018
8187,20,11,2018
5243,7,1,2019
5800,21,1,2019
5580,7,2,2019
4892,11,2,2019
6373,25,2,2019
5309,24,3,2019
6065,24,4,2019
4136,6,5,2019
5901,10,5,2019
4061,24,5,2019
5758,28,5,2019
4792,9,8,2019
4616,23,8,2019
6108,27,8,2019
14050,9,9,2019
6277,23,9,2019
5002,9,10,2019
4391,8,11,2019
5772,26,11,2019
9989,12,12,2019
3469,24,1,2020
5306,24,2,2020
4053,6,3,2020
7384,10,3,2020
5036,24,3,2020
5453,9,6,2020
5884,23,6,2020
6122,27,6,2020
6548,9,7,2020
5741,9,8,2020
5118,8,9,2020
6347,22,9,2020
6254,26,9,2020
5320,12,10,2020
5628,26,10,2020
5742,8,11,2020
5756,12,11,2020
6007,26,11,2020
10945,12,12,2020
3978,25,12,2020
5895,20,1,2021
5054,6,2,2021
4393,2,3,2021
5366,6,3,2021
5716,20,3,2021
4896,6,4,2021
5400,23,5,2021
11198,1,6,2021
5022,5,6,2021
5169,19,6,2021
6022,23,6,2021
6937,5,7,2021
4114,9,7,2021
5537,23,7,2021
7930,5,8,2021
6056,4,9,2021
10528,9,9,2021
6438,18,9,2021
6721,22,9,2021
3425,8,10,2021
4410,22,10,2021
6012,26,10,2021
6675,4,11,2021
5962,8,11,2021
5807,22,11,2021
5976,8,12,2021
5667,21,12,2021
5420,27,1,2022
6088,5,2,2022
5237,9,2,2022
4302,23,2,2022
5114,27,2,2022
6137,9,3,2022
6005,13,3,2022
5441,27,3,2022
5033,9,4,2022
5674,8,5,2022
3896,13,5,2022
6610,22,5,2022
5466,26,5,2022
6438,12,6,2022
6898,26,6,2022
6429,30,6,2022
3792,8,7,2022
6610,12,7,2022
6140,26,7,2022
4747,12,8,2022
7536,25,8,2022
6229,11,9,2022
7821,29,9,2022
6881,25,10,2022
7078,11,11,2022
6739,15,11,2022
5162,29,11,2022
4427,28,12,2022
5193,9,1,2023
3936,13,1,2023
3947,27,1,2023
5653,9,2,2023
5310,22,3,2023
5013,26,3,2023
5476,12,4,2023
6005,26,4,2023
4547,30,4,2023
5053,8,5,2023
3602,26,5,2023
6073,12,6,2023
7032,25,6,2023
6158,11,7,2023
5627,29,7,2023
3962,11,8,2023
4605,25,8,2023
5672,11,9,2023
4817,15,9,2023
4602,29,9,2023
5390,28,10,2023
4681,28,11,2023
5624,10,12,2023
5837,14,12,2023
4879,28,12,2023
3405,26,1,2024
5641,12,2,2024
4933,26,2,2024
3261,12,4,2024
11192,1,2,2018
7461,14,2,2018
4832,28,2,2018
6458,14,3,2018
6549,18,3,2018
6645,14,4,2018
4526,11,10,2022
4474,30,4,2018
11627,1,5,2018
6454,12,5,2018
6424,23,5,2018
5392,22,6,2018
9394,15,7,2018
14841,8,8,2018
9134,25,8,2018
14788,1,9,2018
6785,18,9,2018
8352,29,9,2018
6450,22,10,2018
6056,21,11,2018
4236,14,12,2018
6440,12,1,2019
5676,23,1,2019
6272,5,2,2019
5234,16,2,2019
6248,9,3,2019
5451,15,3,2019
5370,26,3,2019
5607,8,4,2019
4634,30,4,2019
5588,4,2,2024
4470,13,2,2024
4031,8,3,2024
5503,25,3,2024
4750,26,3,2024
4296,2,4,2024
5627,24,1,2018
8162,10,3,2018
8254,4,4,2018
5408,5,1,2018
5507,19,3,2018
2128,31,7,2020
3558,27,4,2018
3733,4,5,2018
5974,13,5,2018
5919,4,6,2018
7409,13,6,2018
8403,17,7,2018
6907,26,7,2018
3571,21,8,2018
6676,3,9,2018
7079,12,9,2018
4522,21,9,2018
4353,7,10,2018
5692,29,11,2018
6087,2,12,2018
4826,11,12,2018
7778,20,12,2018
3911,29,12,2018
7192,25,1,2019
6727,20,2,2019
5336,2,3,2019
5901,11,3,2019
6497,20,3,2019
3630,29,3,2019
5428,6,4,2019
12543,1,6,2019
9113,10,6,2019
6642,19,6,2019
4472,28,6,2019
4991,5,7,2019
6980,14,7,2019
7262,23,7,2019
7365,5,8,2019
5857,18,9,2019
4657,27,9,2019
5498,13,10,2019
6365,22,10,2019
5392,31,10,2019
6145,4,11,2019
5978,13,11,2019
4484,22,11,2019
6058,8,12,2019
5737,17,12,2019
4888,26,12,2019
4946,2,1,2020
5939,11,1,2020
9215,20,1,2020
4807,29,1,2020
5346,6,2,2020
6788,15,2,2020
4478,28,3,2020
5229,10,4,2020
5157,19,4,2020
5274,28,4,2020
10827,5,5,2020
6100,14,5,2020
4397,23,5,2020
